chembl_id	smiles	mw	qed	logp	tpsa	hbd	hba	max_phase	mw_calc	logp_calc	qed_calc	bbb
CHEMBL539843	Cl.Cl.NC(=O)c1cnc2n1CCc1ccccc1C21CCNCC1	369.30	0.83		72.94	2	4	2.0	369.3	2.051	0.808	1
CHEMBL1722	COC(=O)C(c1ccccc1)C1CCCCN1.Cl	269.77	0.81		38.33	1	3	4.0	269.77	2.507	0.857	1
CHEMBL541388	Cl.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1	327.84	0.90		62.30	1	4	2.0	327.84	1.641	0.911	1
CHEMBL1723	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl	425.92	0.65		111.83	2	8	4.0	425.92	1.772	0.615	0
CHEMBL1724	C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-]	420.35	0.69		46.53	1	3	4.0	420.35	-0.291	0.547	0
CHEMBL559478	O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2	325.21	0.80		32.78	0	3	2.0	325.21	2.728	0.796	1
CHEMBL1727	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1	347.40	0.68		112.73	3	5	4.0	347.4	0.445	0.682	0
CHEMBL561132	CN([C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1	416.47	0.69		79.61	1	4	1.0	416.47	3.043	0.693	1
CHEMBL561339	CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1	392.50	0.83		61.80	2	4	2.0	392.5	3.821	0.83	1
CHEMBL1728	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl	387.81	0.88		74.57	2	5	4.0	387.81	2.218	0.844	1
CHEMBL560592	NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O	291.31	0.69		112.73	3	4	3.0	291.31	-0.571	0.687	0
CHEMBL560993	Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O	348.38	0.60		55.12	1	3	3.0	348.38	4.312	0.598	0
CHEMBL563646	CC(C)(C)c1ccc(CN(Cc2cccc(OCC(=O)O)c2)S(=O)(=O)c2cccnc2)cc1	468.58	0.50		96.80	1	5	2.0	468.58	4.234	0.505	0
CHEMBL564829	CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2	460.59	0.62		91.21	2	8	2.0	460.59	2.566	0.618	0
CHEMBL549963	CN(C)c1ccc2c(c1)Sc1cc(N(C)C)ccc1N2	285.42	0.77		18.51	1	4	3.0	285.42	4.027	0.766	0
CHEMBL1733	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O	410.47	0.62		106.94	3	4	2.0	410.47	2.089	0.615	0
CHEMBL1734	O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1	362.47	0.81		32.78	0	3	4.0	362.47	3.865	0.813	1
CHEMBL549671	CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1	415.53	0.64		48.83	1	6	2.0	415.53	3.776	0.637	1
CHEMBL557555	CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O	289.16	0.86		46.53	1	2	4.0	289.16	3.59	0.862	1
CHEMBL550348	O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1	373.37	0.50		108.47	3	6	4.0	373.37	3.711	0.503	0
CHEMBL549344	CCc1nc2c(N)nc3ccccc3c2n1CCCCNS(C)(=O)=O	361.47	0.63		102.90	2	6	2.0	361.47	2.058	0.627	0
CHEMBL551786	Cc1cccc(C)c1NC(=O)NCCCNC(C)C	263.38	0.69		53.16	3	2	2.0	263.38	2.813	0.691	1
CHEMBL551978	CCOc1ccc(/C=C2\NCCc3cc(OCC)c(OCC)cc32)cc1OCC	397.52	0.65		48.95	1	5	3.0	397.52	4.925	0.65	0
CHEMBL562967	CC(C)C(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(F)[C@@H]1OC(=O)C(C)C	399.42	0.71		122.74	1	9	2.0	399.42	1.218	0.709	0
CHEMBL563251	CN1C[C@@H]2[C@H](C1)[C@H]2CN(Cc1ccc(F)c(Cl)c1)C(=O)c1cn(C)cn1	376.86	0.81		41.37	0	4	2.0	376.86	2.663	0.805	1
CHEMBL556262	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12	285.32	0.73		87.07	2	5	3.0	285.32	0.374	0.729	0
CHEMBL559288	N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1	430.60	0.73		73.36	1	4	3.0	430.6	3.692	0.727	1
CHEMBL1740	CNCC(O)c1ccc(O)c(O)c1	183.21	0.51		72.72	4	4	2.0	183.21	0.351	0.51	0
CHEMBL558722	Clc1cc(Cl)c2c(c1)CCc1ccccc1C2n1ccnc1	329.23	0.62		17.82	0	2	2.0	329.23	4.926	0.619	0
CHEMBL572881	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21	373.46	0.63		78.94	3	5	3.0	373.46	4.044	0.629	0
CHEMBL573843	COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCN1C	327.41	0.80		101.73	2	5	2.0	327.41	0.167	0.802	0
CHEMBL583912	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2	290.27	0.51		110.38	5	6	2.0	290.27	1.546	0.51	0
CHEMBL576981	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12	383.50	0.69		93.44	2	7	1.0	383.5	0.66	0.689	0
CHEMBL573448	COc1ccc(OC(C)C(=O)O)cc1	196.20	0.79		55.76	1	3	1.0	196.2	1.547	0.793	1
CHEMBL577711	CCCC(CCC)C(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	389.40	0.62		113.68	3	7	1.0	389.4	1.284	0.617	0
CHEMBL566534	CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3	298.38	0.70		46.15	0	5	4.0	298.38	2.841	0.697	1
CHEMBL566757	O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1	391.52	0.55		62.30	1	3	2.0	391.52	3.934	0.548	1
CHEMBL578767	FC(F)(F)c1cccc(C2CNCCO2)c1	231.22	0.80		21.26	1	2	4.0	231.22	2.366	0.801	1
CHEMBL571948	C[C@@H](N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1	280.33	0.69		83.80	3	3	1.0	280.33	2.835	0.689	1
CHEMBL579205	CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F	274.32	0.75		45.15	2	4	4.0	274.32	3.85	0.746	1
CHEMBL569713	CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12	303.36	0.66		62.30	1	5	4.0	303.36	0.918	0.662	0
CHEMBL571546	O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1	431.54	0.56		63.69	1	5	4.0	431.54	3.319	0.563	1
