time_ns,rmsd_all_A,rmsd_dfg_region_A,rmsd_nlobe_A
48.600,9.932,5.651,9.141
48.700,9.904,5.727,9.132
48.800,9.977,5.887,9.184
48.900,9.686,5.744,8.584
49.000,10.104,5.967,9.252
49.100,10.420,6.137,9.470
49.200,10.794,6.166,9.988
49.300,11.215,6.494,10.487
49.400,11.083,6.379,10.541
49.500,10.922,6.156,9.987
49.600,10.409,5.743,9.425
49.700,10.381,5.628,9.218
49.800,10.335,5.842,9.420
49.900,10.340,5.813,9.415
50.000,10.134,5.750,9.306
50.100,10.103,5.705,9.208
50.200,9.525,5.455,8.380
50.300,10.019,5.700,9.023
50.400,10.186,5.719,9.141
50.500,9.920,5.169,8.646
50.600,10.131,5.546,9.089
50.700,10.343,5.515,9.144
50.800,10.327,5.378,8.965
50.900,10.211,5.898,8.963
51.000,10.609,6.000,9.492
51.100,10.826,5.902,9.694
51.200,10.884,5.875,9.918
51.300,10.940,5.979,10.017
51.400,10.949,6.094,10.061
51.500,10.501,5.848,9.375
51.600,10.882,6.001,9.605
51.700,10.598,5.693,9.343
51.800,10.765,5.855,9.479
51.900,10.691,5.658,9.340
52.000,10.487,5.189,8.835
52.100,10.676,5.575,8.824
52.200,10.642,5.726,8.995
52.300,10.725,5.959,9.327
52.400,10.861,5.824,9.042
52.500,10.958,5.888,9.215
52.600,11.027,5.888,9.004
52.700,11.133,5.874,9.375
52.800,11.082,5.674,9.030
52.900,11.164,5.867,9.086
53.000,11.223,5.646,9.139
53.100,11.299,6.078,9.203
53.200,11.399,6.189,9.427
53.300,11.602,6.564,10.166
53.400,11.316,6.244,9.555
53.500,11.380,6.136,9.432
53.600,11.030,5.925,9.047
53.700,10.853,5.638,8.722
53.800,11.111,5.723,9.227
53.900,10.969,5.490,9.043
54.000,10.734,5.446,8.678
54.100,10.781,5.558,8.824
54.200,10.760,5.777,8.723
54.300,10.588,5.355,8.628
54.400,10.382,5.140,8.096
54.500,10.399,5.176,8.308
54.600,10.262,5.249,8.279
54.700,10.339,5.308,8.232
54.800,10.333,5.598,8.712
54.900,10.146,5.626,8.414
55.000,9.972,5.215,8.120
55.100,10.169,5.379,8.213
55.200,10.052,5.294,8.041
55.300,10.250,5.443,8.196
55.400,10.243,5.222,8.154
55.500,10.459,5.236,8.293
55.600,10.740,5.189,8.679
55.700,10.826,5.444,8.961
55.800,11.069,5.624,9.155
55.900,11.626,6.248,9.501
56.000,11.396,6.240,9.439
56.100,11.215,5.726,8.990
56.200,10.842,5.486,8.601
56.300,10.671,5.614,8.550
56.400,10.540,5.341,8.154
56.500,10.582,5.401,8.271
56.600,10.636,5.420,8.362
56.700,10.824,5.530,8.771
56.800,11.013,5.642,9.099
56.900,11.144,5.883,9.125
57.000,10.786,5.655,8.711
57.100,10.956,5.904,8.882
57.200,10.942,6.020,8.852
57.300,10.607,6.085,8.589
57.400,10.557,5.995,8.366
57.500,10.560,5.875,8.358
57.600,10.653,5.875,8.417
57.700,10.190,5.427,7.794
57.800,10.361,5.617,8.022
57.900,10.769,5.972,8.510
58.000,11.150,6.253,8.767
58.100,11.078,6.216,8.912
58.200,11.224,6.073,9.284
58.300,11.202,5.991,9.123
58.400,11.135,5.944,8.947
58.500,11.270,5.764,9.056
58.600,11.456,5.961,9.214
58.700,11.199,5.965,8.914
58.800,11.358,6.042,9.137
58.900,11.232,6.270,9.070
59.000,11.474,6.328,9.144
59.100,11.572,6.129,9.247
59.200,11.281,6.139,8.994
59.300,11.655,6.537,9.420
59.400,11.514,6.218,9.255
59.500,11.452,6.146,9.131
59.600,11.483,5.969,8.984
59.700,11.407,5.909,8.833
59.800,11.029,5.634,8.460
59.900,11.190,5.772,8.849
60.000,11.283,5.860,8.871
60.100,11.127,5.605,8.570
60.200,11.100,5.718,8.823
60.300,11.214,5.942,8.638
60.400,11.303,6.142,8.856
60.500,11.187,6.129,8.971
60.600,10.981,5.938,8.651
60.700,10.727,5.882,8.239
60.800,10.571,5.399,7.881
60.900,10.743,5.500,8.167
61.000,10.810,5.460,8.423
61.100,11.064,5.854,8.983
61.200,10.842,5.874,8.707
61.300,10.979,5.694,8.905
61.400,11.361,6.099,9.319
61.500,11.280,6.162,9.312
61.600,11.539,6.333,9.613
61.700,11.430,6.287,9.271
61.800,11.348,6.232,9.192
61.900,11.290,6.549,9.075
62.000,11.443,6.281,8.999
62.100,11.235,6.214,8.936
62.200,11.182,6.184,9.003
62.300,11.330,6.439,9.173
62.400,10.832,5.947,8.512
62.500,11.029,6.132,8.810
62.600,11.208,6.214,9.186
62.700,11.130,6.043,8.824
62.800,11.355,6.325,9.325
62.900,11.417,6.466,9.441
63.000,11.386,6.432,9.483
63.100,11.301,6.491,9.229
63.200,11.660,6.732,9.674
63.300,11.765,6.780,9.727
63.400,12.211,6.926,10.286
63.500,12.050,6.959,9.904
63.600,12.021,6.872,9.986
63.700,11.985,6.817,10.050
63.800,11.786,6.702,9.498
63.900,11.630,6.312,9.536
64.000,11.810,6.952,9.886
64.100,11.757,6.893,9.634
64.200,11.804,6.927,9.726
64.300,11.683,6.757,9.565
64.400,11.464,6.561,9.230
64.500,11.287,6.445,9.157
64.600,11.433,6.402,9.398
64.700,11.261,6.518,9.112
64.800,11.599,6.717,9.626
64.900,11.515,6.834,9.392
65.000,11.247,6.255,9.142
65.100,11.281,6.480,9.263
65.200,11.479,6.378,9.535
65.300,11.210,6.301,8.959
65.400,11.402,6.488,9.248
65.500,11.202,6.414,9.000
65.600,11.440,6.372,9.127
65.700,11.327,6.226,9.322
65.800,11.428,6.296,9.308
65.900,11.519,6.568,9.625
66.000,11.798,6.853,9.705
66.100,11.758,6.658,9.667
66.200,11.707,6.449,9.679
66.300,12.013,6.785,10.001
66.400,11.875,6.631,9.628
66.500,11.679,6.441,9.376
66.600,11.914,6.872,9.831
66.700,11.636,6.324,9.315
66.800,11.751,6.268,9.485
66.900,11.725,6.433,9.438
67.000,11.631,6.543,9.404
67.100,11.548,6.350,9.283
67.200,11.918,6.603,9.860
67.300,12.164,6.921,10.010
67.400,12.068,6.690,9.949
67.500,12.091,6.668,9.640
67.600,11.955,6.612,9.439
67.700,12.168,7.026,9.891
67.800,11.983,6.459,9.900
67.900,11.867,6.146,9.592
68.000,11.424,5.913,8.980
68.100,11.465,5.730,9.001
68.200,11.440,5.763,9.015
68.300,11.474,6.216,9.091
68.400,11.359,5.971,8.842
68.500,11.255,5.917,8.802
68.600,11.015,5.884,8.558
68.700,11.379,6.191,8.986
68.800,11.325,6.122,9.050
68.900,10.872,5.856,8.372
69.000,11.027,6.125,8.680
69.100,11.376,6.273,9.129
69.200,11.472,6.076,9.170
69.300,11.601,6.167,9.434
69.400,11.466,6.179,9.174
69.500,10.989,5.940,8.726
69.600,10.953,5.924,8.353
69.700,10.768,5.730,8.152
69.800,10.872,5.862,8.122
69.900,11.042,5.973,8.490
70.000,10.883,5.956,8.297
70.100,11.042,5.783,8.603
70.200,11.233,6.145,8.820
70.300,11.351,6.150,9.006
70.400,11.121,6.110,8.652
70.500,11.531,6.227,9.151
70.600,11.431,6.078,8.962
70.700,11.331,5.946,8.903
70.800,11.797,6.459,9.667
70.900,11.688,6.110,9.373
71.000,11.459,5.964,9.040
71.100,11.838,6.296,9.588
71.200,11.969,6.604,9.760
71.300,11.735,6.470,9.486
71.400,11.882,6.356,9.738
71.500,11.785,6.480,9.570
71.600,11.955,6.532,9.802
71.700,12.036,6.513,9.480
71.800,11.959,6.269,9.542
71.900,12.112,6.531,9.736
72.000,12.121,6.587,9.760
72.100,12.166,6.746,9.692
72.200,12.268,6.936,9.896
72.300,11.992,6.590,9.522
72.400,11.848,6.276,9.402
72.500,11.748,6.325,9.342
72.600,11.914,6.711,9.449
72.700,11.911,6.816,9.645
72.800,11.950,6.728,9.723
72.900,11.961,6.774,9.619
73.000,11.784,6.751,9.382
73.100,11.877,6.893,9.555
73.200,11.896,6.810,9.746
73.300,12.117,6.847,10.186
73.400,12.320,7.125,10.589
73.500,12.410,7.332,10.462
73.600,12.938,7.833,11.062
73.700,13.267,7.820,11.643
73.800,13.176,7.474,11.462
73.900,13.229,7.665,11.401
74.000,13.029,7.449,11.336
74.100,13.132,7.891,11.318
74.200,12.921,7.524,11.107
74.300,12.915,7.435,10.932
74.400,13.119,7.516,11.072
74.500,13.313,7.429,11.481
74.600,13.050,7.669,11.194
