#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
27.0%,2700000,5400.000000182626,-1646394.447138696,255373.2482610557,-1391021.1988776403,301.1800547486558,1045.2132057683134,0.9752688559959105,213,1:38:40
27.5%,2750000,5500.000000202998,-1644546.0001956746,254822.6378729791,-1389723.3623226956,300.5306802822412,1045.2132057683134,0.9752688559959105,213,1:38:00
28.0%,2800000,5600.000000223371,-1644831.1594336862,253945.9908347692,-1390885.1685989168,299.4967873245364,1045.2132057683134,0.9752688559959105,213,1:37:19
28.5%,2850000,5700.000000243744,-1647921.1014980786,255007.65005957644,-1392913.4514385022,300.7488784720202,1045.2132057683134,0.9752688559959105,213,1:36:39
29.0%,2900000,5800.000000264116,-1648080.6389819542,254942.21623345435,-1393138.4227484998,300.67170765061246,1045.2132057683134,0.9752688559959105,213,1:35:59
29.5%,2950000,5900.000000284489,-1644963.2069574594,254523.52921017943,-1390439.67774728,300.177919904828,1045.2132057683134,0.9752688559959105,213,1:35:19
30.0%,3000000,6000.000000304862,-1650169.42239945,253858.9153175616,-1396310.5070818886,299.3940928989517,1045.2132057683134,0.9752688559959105,213,1:34:39
30.5%,3050000,6100.000000325234,-1646095.353866769,255372.89953218953,-1390722.4543345794,301.1796434676006,1045.2132057683134,0.9752688559959105,213,1:33:58
31.0%,3100000,6200.000000345607,-1649619.964069861,254404.1939960133,-1395215.7700738476,300.037179296402,1045.2132057683134,0.9752688559959105,213,1:33:18
31.5%,3150000,6300.00000036598,-1648193.1494407086,253859.77163013752,-1394333.377810571,299.3951028100143,1045.2132057683134,0.9752688559959105,213,1:32:38
32.0%,3200000,6400.000000386352,-1646136.1996908328,253607.7768912113,-1392528.4227996215,299.0979072745266,1045.2132057683134,0.9752688559959105,213,1:31:57
32.5%,3250000,6500.000000406725,-1647875.9054193646,254250.60756623128,-1393625.2978531332,299.85604376382213,1045.2132057683134,0.9752688559959105,213,1:31:17
33.0%,3300000,6600.000000427098,-1646700.7150776777,255365.38734112392,-1391335.3277365537,301.17078379991096,1045.2132057683134,0.9752688559959105,213,1:30:37
33.5%,3350000,6700.0000004474705,-1650240.6966355685,254604.2821910909,-1395636.4144444775,300.27315770823003,1045.2132057683134,0.9752688559959105,213,1:29:56
34.0%,3400000,6800.000000467843,-1648841.2830395596,252905.48208936668,-1395935.8009501928,298.26964045993435,1045.2132057683134,0.9752688559959105,213,1:29:16
34.5%,3450000,6900.000000488216,-1648883.4810207533,254288.9276576442,-1394594.553363109,299.90123740610187,1045.2132057683134,0.9752688559959105,213,1:28:36
35.0%,3500000,7000.0000005085885,-1646606.309476602,253956.09617923127,-1392650.2132973706,299.508705284695,1045.2132057683134,0.9752688559959105,213,1:27:55
35.5%,3550000,7100.000000528961,-1645719.6343671018,254379.1960611666,-1391340.4383059351,300.0076974323578,1045.2132057683134,0.9752688559959105,213,1:27:15
36.0%,3600000,7200.000000549334,-1647446.4928898197,254857.16991693835,-1392589.3229728814,300.5714064074757,1045.2132057683134,0.9752688559959105,213,1:26:34
36.5%,3650000,7300.000000569707,-1647563.4762708666,255200.6221356994,-1392362.854135167,300.9764643325105,1045.2132057683134,0.9752688559959105,213,1:25:54
37.0%,3700000,7400.000000590079,-1645429.672371001,255248.8373832663,-1390180.8349877347,301.03332804474655,1045.2132057683134,0.9752688559959105,213,1:25:14
37.5%,3750000,7500.000000610452,-1647250.2257808233,253684.92902698787,-1393565.2967538354,299.1888983420538,1045.2132057683134,0.9752688559959105,213,1:24:33
38.0%,3800000,7600.000000630825,-1646935.0091540096,254294.98859090116,-1392640.0205631084,299.9083855009888,1045.2132057683134,0.9752688559959105,213,1:23:53
38.5%,3850000,7700.000000651197,-1645766.1773572676,254745.35814368277,-1391020.8192135848,300.43953873449124,1045.2132057683134,0.9752688559959105,213,1:23:12
39.0%,3900000,7800.00000067157,-1648450.5961149912,255662.63555717186,-1392787.9605578193,301.5213500185454,1045.2132057683134,0.9752688559959105,213,1:22:32
39.5%,3950000,7900.000000691943,-1648280.1645404864,255259.68075261643,-1393020.48378787,301.0461164107824,1045.2132057683134,0.9752688559959105,213,1:21:52
40.0%,4000000,8000.000000712315,-1647364.9232074711,253680.8439749345,-1393684.0792325367,299.18408054610427,1045.2132057683134,0.9752688559959105,213,1:21:11
40.5%,4050000,8100.000000732688,-1650032.4680964919,255339.6179262756,-1394692.8501702163,301.14039207396587,1045.2132057683134,0.9752688559959105,213,1:20:31
41.0%,4100000,8200.00000075306,-1646302.715925509,254575.76787408115,-1391726.948051428,300.2395287215739,1045.2132057683134,0.9752688559959105,213,1:19:50
41.5%,4150000,8300.000000773432,-1647386.7106888434,254815.14633974605,-1392571.5643490974,300.52184497782054,1045.2132057683134,0.9752688559959105,213,1:19:10
42.0%,4200000,8400.000000793805,-1650322.5282734483,254791.7808179807,-1395530.7474554677,300.4942883360327,1045.2132057683134,0.9752688559959105,213,1:18:29
42.5%,4250000,8500.000000814178,-1644904.2697368953,254487.02357850134,-1390417.246158394,300.13486618552764,1045.2132057683134,0.9752688559959105,213,1:17:49
43.0%,4300000,8600.00000083455,-1644383.9552853275,254664.4691382228,-1389719.4861471048,300.3441405075474,1045.2132057683134,0.9752688559959105,213,1:17:08
43.5%,4350000,8700.000000854923,-1646893.7551258365,254217.59417709007,-1392676.1609487464,299.8171086975351,1045.2132057683134,0.9752688559959105,213,1:16:28
