dataset	gene	log2FC	lfcSE	padj	baseMean	detected	cell_type
GSE302774_iN	CBLN1	-0.0144019521881467	0.0840012843791655	0.904003659120426	878.168834690831	True	Purkinje
GSE302774_iN	CBLN3	0.18588570664756	0.404375608915372	0.647602409933989	23.0102017513908	True	Purkinje
GSE302774_iN	ETV1	-0.838044854575629	0.0485362354770068	8.21283382652839e-66	6240.72449105308	True	Granule
GSE302774_iN	GRIA2	-0.780243429072858	0.0527159491214175	9.42861415330795e-49	5069.51655381751	True	Granule
GSE302774_iN	GRID2	-0.751321664432477	0.300956106668584	0.0093813092452111	97.138524438714	True	Purkinje
GSE302774_iN	GRIK2	-0.818207975131637	0.0552498690262108	7.94286892935123e-49	2264.53313797116	True	Afferents
GSE302774_iN	GRM4	-0.30708564212683	0.104512605079817	0.0060058859032047	910.231205103477	True	Granule
GSE302774_iN	HOMER3	0.138350357750556	0.0624520001510792	0.0471024949008487	1625.23038749142	True	Purkinje
GSE302774_iN	HOPX	-0.826229029899747	0.640300152050729	0.0731644258276945	15.8636812038223	True	BergmannGlia
GSE302774_iN	ITPR1	-0.36964063043255	0.17840458907461	0.0530036588598602	183.623257622997	True	Purkinje
GSE302774_iN	KIT	-2.1360422543973	0.210954057967684	3.36223639409445e-24	220.229544937145	True	MLI
GSE302774_iN	LHX9	-1.02994484431629	0.069258800297032	2.3155006674006698e-49	3571.31677074245	True	DCN
GSE302774_iN	MEIS2	0.286976380835416	0.104538317125739	0.0108417522951924	790.169423108778	True	DCN
GSE302774_iN	NEUROD1	2.42249385913746	0.0584722962997498	0.0	4038.89440784732	True	Granule
GSE302774_iN	PCP4	0.627365873723186	0.166820824908372	0.0002314283044998	279.041330625167	True	Purkinje
GSE302774_iN	PVALB	-0.0911006855436943	0.562073578984192	0.770505338678601	13.0466688048934	True	Purkinje
GSE302774_iN	PVALB	-0.0911006855436943	0.562073578984192	0.770505338678601	13.0466688048934	True	MLI
GSE302774_iN	RBFOX3	-0.225061329083891	0.0848601982909936	0.0147135051451108	1350.95774253377	True	Granule
GSE302774_iN	ROBO3	-0.415520576515021	0.283977376249925	0.153489023548927	97.6596353428114	True	DCN
GSE302774_iN	SLC17A6	-0.731673725279523	0.0501996757342249	2.8186063022287e-47	11236.9980341964	True	DCN
GSE302774_iN	SLC1A3	-0.357528922457318	0.459134120072525	0.367602757110022	21.1348125575363	True	BergmannGlia
GSE302774_iN	SORCS3	-0.523023861453272	0.12856396512726	8.12328748547979e-05	428.603973387649	True	MLI
GSE302774_iN	SST	-2.38158317321624	0.054399264121079	0.0	5626.62617378328	True	MLI
GSE302774_iN	ZIC1	-2.26638035977702	0.405949411308182	6.690965750724871e-09	67.029036394154	True	Granule
GSE302774_iN	ZIC2	0.495747582774231	0.0605744664763185	1.0833492388403201e-15	3074.87175314898	True	Granule
