Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	druggable_class
ENSG00000064886	CHI3L2	Q15782	56.1	29.3	1.9	22.6	Chitinase 3 like 2	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000170017	ALCAM	Q13740	56.1	54.7	0.7	9.0	Activated leukocyte cell adhesion molecule	Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	True
ENSG00000013306	SLC25A39	Q9BZJ4	56.1	52.3	42.7	65.0	Solute carrier family 25 member 39	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000135047	CTSL	P07711	56.0	50.1	70.2	105.9	Cathepsin L	Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000012124	CD22	P20273	56.0	14.8	0.2	1.2	CD22 molecule	CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000108691	CCL2	P13500	55.9	45.4	18.8	305.0	C-C motif chemokine ligand 2	Cancer-related genes, Candidate cardiovascular disease genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	True
ENSG00000116857	TMEM9	Q9P0T7	55.9	117.9	42.2	48.6	Transmembrane protein 9	Predicted membrane proteins, Transporters	True
ENSG00000147140	NONO	Q15233	55.9	69.9	84.6	70.7	Non-POU domain containing octamer binding	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	True
ENSG00000112339	HBS1L	Q9Y450	55.9	40.7	156.8	47.7	HBS1 like translational GTPase	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000170348	TMED10	P49755	55.9	51.9	71.4	77.4	Transmembrane p24 trafficking protein 10	Essential proteins, Predicted membrane proteins, Transporters	True
ENSG00000150625	GPM6A	P51674	55.6	614.0	0.4	2.6	Glycoprotein M6A	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000198467	TPM2	P07951	55.6	70.2	36557.0	969.6	Tropomyosin 2	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000054523	KIF1B	O60333	55.5	69.8	184.8	28.4	Kinesin family member 1B	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000131409	LRRC4B	Q9NT99	55.5	99.9	0.6	1.6	Leucine rich repeat containing 4B	Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000110042	DTX4	Q9Y2E6	55.5	12.5	1.3	3.0	Deltex E3 ubiquitin ligase 4	Enzymes, Predicted intracellular proteins	True
ENSG00000072506	HSD17B10	Q99714	55.4	39.9	85.8	96.9	Hydroxysteroid 17-beta dehydrogenase 10	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000101150	TPD52L2	O43399	55.3	56.7	66.6	81.1	TPD52 like 2	Plasma proteins, Predicted intracellular proteins	True
ENSG00000182220	ATP6AP2	O75787	55.3	109.4	20.5	51.6	ATPase H+ transporting accessory protein 2	Disease related genes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000100823	APEX1	P27695	55.3	67.0	99.7	71.6	Apurinic/apyrimidinic endodeoxyribonuclease 1	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000170525	PFKFB3	Q16875	55.3	69.1	534.6	21.2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000241685	ARPC1A	Q92747	55.2	86.5	45.8	113.9	Actin related protein 2/3 complex subunit 1A	Plasma proteins, Predicted intracellular proteins	True
ENSG00000100994	PYGB	P11216	55.2	90.6	17.7	153.5	Glycogen phosphorylase B	Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000092871	RFFL	Q8WZ73	55.2	21.9	16.9	8.1	Ring finger and FYVE like domain containing E3 ubiquitin protein ligase	Enzymes, Predicted intracellular proteins	True
ENSG00000125968	ID1	P41134	54.9	50.8	50.4	292.8	Inhibitor of DNA binding 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	True
ENSG00000164104	HMGB2	P26583	54.9	42.6	69.7	80.3	High mobility group box 2	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000176978	DPP7	Q9UHL4	54.9	65.0	49.0	104.0	Dipeptidyl peptidase 7	Enzymes, Plasma proteins, Predicted secreted proteins	True
ENSG00000161281	COX7A1	P24310	54.8	198.2	6519.5	4516.8	Cytochrome c oxidase subunit 7A1	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000125656	CLPP	Q16740	54.8	56.2	153.3	96.5	Caseinolytic mitochondrial matrix peptidase proteolytic subunit	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins	True
ENSG00000133835	HSD17B4	P51659	54.6	45.0	55.0	63.4	Hydroxysteroid 17-beta dehydrogenase 4	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000214046	SMIM7	Q9BQ49	54.6	34.2	22.8	33.5	Small integral membrane protein 7	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000102226	USP11	P51784	54.6	169.4	32.6	45.7	Ubiquitin specific peptidase 11	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000106565	TMEM176B	Q3YBM2	54.5	33.2	10.7	199.6	Transmembrane protein 176B	Predicted membrane proteins, Transporters	True
ENSG00000204370	SDHD	O14521	54.5	59.6	332.3	238.3	Succinate dehydrogenase complex subunit D	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000126088	UROD	P06132	54.5	69.1	73.6	66.2	Uroporphyrinogen decarboxylase	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000138434	ITPRID2	P28290	54.4	27.6	29.4	22.9	ITPR interacting domain containing 2	Plasma proteins, Predicted intracellular proteins	True
ENSG00000108654	DDX5	P17844	54.3	85.3	87.5	62.4	DEAD-box helicase 5	Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000146731	CCT6A	P40227	54.3	52.6	125.4	56.1	Chaperonin containing TCP1 subunit 6A	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000182149	IST1	P53990	54.3	36.8	58.8	47.1	IST1 factor associated with ESCRT-III	Plasma proteins, Predicted intracellular proteins	True
ENSG00000120860	WASHC3	Q9Y3C0	54.2	37.6	34.7	34.5	WASH complex subunit 3	Predicted intracellular proteins, Transporters	True
ENSG00000177700	POLR2L	P62875	54.2	67.5	102.8	165.1	RNA polymerase II, I and III subunit L	Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RNA polymerase related proteins	True
ENSG00000117758	STX12	Q86Y82	54.2	49.9	20.3	20.0	Syntaxin 12	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000092421	SEMA6A	Q9H2E6	54.1	23.6	7.7	6.9	Semaphorin 6A	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000150753	CCT5	P48643	54.1	52.6	122.5	69.9	Chaperonin containing TCP1 subunit 5	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000131507	NDFIP1	Q9BT67	54.1	151.3	42.9	51.6	Nedd4 family interacting protein 1	Predicted membrane proteins	True
ENSG00000183726	TMEM50A	O95807	54.0	39.3	20.1	41.4	Transmembrane protein 50A	Predicted membrane proteins, Transporters	True
ENSG00000120896	SORBS3	O60504	53.9	51.1	62.0	102.8	Sorbin and SH3 domain containing 3	Plasma proteins, Predicted intracellular proteins	True
ENSG00000139970	RTN1	Q16799	53.9	417.8	0.7	0.8	Reticulon 1	Plasma proteins, Predicted membrane proteins, Transporters	True
ENSG00000168092	PAFAH1B2	P68402	53.7	38.2	14.6	26.4	Platelet activating factor acetylhydrolase 1b catalytic subunit 2	Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins	True
ENSG00000063245	EPN1	Q9Y6I3	53.6	142.1	149.7	139.7	Epsin 1	Plasma proteins, Predicted intracellular proteins	True
ENSG00000148672	GLUD1	P00367	53.5	140.1	30.5	76.8	Glutamate dehydrogenase 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000109062	SLC9A3R1	O14745	53.5	79.6	5.0	23.0	SLC9A3 regulator 1	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	True
ENSG00000183426	NPIPA1	Q9UND3	53.5	114.8	67.0	57.5	Nuclear pore complex interacting protein family member A1	Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
