Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000037280	FLT4	P35916	1.5	1.6	4.5	9.7	Fms related receptor tyrosine kinase 4	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins, Transporters
ENSG00000171819	ANGPTL7	O43827	1.5	0.2	7.4	7.4	Angiopoietin like 7	Predicted secreted proteins
ENSG00000171970	ZNF57	Q68EA5	1.5	2.7	1.6	3.0	Zinc finger protein 57	Predicted intracellular proteins, Transcription factors
ENSG00000140945	CDH13	P55290	1.5	27.9	64.2	53.5	Cadherin 13	Plasma proteins, Predicted intracellular proteins
ENSG00000163738	MTHFD2L	Q9H903	1.5	1.5	1.4	3.4	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	Enzymes, Metabolic proteins, Predicted intracellular proteins
ENSG00000100351	GRAP2	O75791	1.5	0.0	0.4	1.1	GRB2 related adaptor protein 2	Plasma proteins, Predicted intracellular proteins
ENSG00000135205	CCDC146	Q8IYE0	1.5	1.8	1.0	1.7	Coiled-coil domain containing 146	Predicted intracellular proteins
ENSG00000099958	DERL3	Q96Q80	1.5	1.7	1.8	5.7	Derlin 3	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters
ENSG00000152495	CAMK4	Q16566	1.5	9.6	0.1	0.1	Calcium/calmodulin dependent protein kinase IV	Enzymes, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000196876	SCN8A	Q9UQD0	1.5	15.5	0.2	0.1	Sodium voltage-gated channel alpha subunit 8	Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels
ENSG00000196990	FAM163B	P0C2L3	1.5	61.2	0.0	2.2	Family with sequence similarity 163 member B	Predicted membrane proteins
