geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCC6P1,12.276096838978097,-0.7065912041564594,0.49226089242320176,-1.4353998358029134,0.15117319277377558,0.28016836399761574
ABCC6P2,7.8673407061821585,-0.7395809679496181,0.6655129931031243,-1.1112945586548701,0.26644158079461866,0.42283574900544696
ABCC8,25.90024629447872,1.4299383458092025,0.582308203783522,2.4556383312449332,0.01406346148352442,0.045173382674231696
ABCC9,149.004313203435,1.3936792847194366,0.1755132915955155,7.940591120194376,2.012199666101013e-15,8.951144452171226e-14
ABCD1,415.2604827300229,0.32497332096405473,0.1247487337118723,2.6050230033968442,0.009186809183665247,0.03200021910182907
ABCD1P2,0.0,,,,,
ABCD1P3,0.0,,,,,
ABCD1P4,0.0,,,,,
ABCD1P5,0.0,,,,,
ABCD2,1588.3600413538686,-0.39494792153365216,0.10459792977498322,-3.7758674802004752,0.00015945175313743842,0.0010301644656178983
ABCD3,1906.9958197594133,-0.5146304519171153,0.21729295897784637,-2.3683715033287545,0.01786658546085005,0.05464583936297951
ABCD4,833.4716714546925,0.23872332160955098,0.08664529770153802,2.7551791954350167,0.005865999835954537,0.022096900766842897
ABCE1,3695.333817784507,-0.5864569798395629,0.19263306614525433,-3.0444252981850317,0.0023312531811661265,0.010213507781656778
ABCF1,3462.241308464461,-0.016901205146120663,0.142788191052226,-0.11836556665907269,0.9057780077675976,0.9463302708676515
ABCF2,2874.1868281773404,-0.23003016873683504,0.05972883195994738,-3.8512417067035125,0.00011752043707438629,0.0007894156925303447
ABCF2P1,0.15471634226929706,-0.9397098229957397,3.7774959040443954,-0.24876527913362778,0.8035423501633268,
ABCF2P2,0.0,,,,,
ABCF3,785.5474665215877,0.15680178704333406,0.07052368892030579,2.223391734662739,0.02618939655488637,0.07365970695751889
ABCG1,110.60906486765914,1.292660778345902,0.3631461250838851,3.5596160582666365,0.0003713973753103362,0.002135509166601524
ABCG2,0.18461523861298712,-1.687547147748266,3.6713736008584017,-0.45965007411768216,0.6457674107150476,
ABCG4,42.94470161797866,0.9641868259597082,0.24344902261926504,3.960528637930167,7.478402324634713e-05,0.0005360724654192621
ABCG5,0.12495312725183262,0.5029727146496928,3.945759503654211,0.1274717108794604,0.898567061955097,
ABCG8,0.18414779026724304,-0.45881436139782683,3.706152491059232,-0.12379802571660942,0.9014751950398331,
ABHD1,49.77432064548674,0.41270371107758835,0.21358720950029325,1.932249183100179,0.05332875729549956,0.12728438656351312
ABHD10,918.6060886339255,-0.4276253246736493,0.08616425176599991,-4.962908815537218,6.944519022159848e-07,8.353962953277079e-06
ABHD11,214.08688144368278,-0.17561098220972982,0.12253414548266185,-1.433159561508332,0.15181224317839076,0.2808156397585986
ABHD11-AS1,3.959261965957139,1.7916408772112764,0.9169468807014133,1.9539200306137372,0.05071067529945798,
ABHD12,852.3021784512777,-0.3694017831002977,0.0784516714353038,-4.708654083997812,2.493578310653551e-06,2.667207558082903e-05
ABHD12B,1.0662280383542475,-2.100992604158354,1.4598990446068707,-1.4391355429129145,0.15011212346422861,
ABHD13,900.0275931620874,0.005671623368093269,0.07156372537856219,0.07925276860715631,0.9368315732672008,0.9640669612376471
ABHD14A,253.09891980997847,0.16359905050375181,0.18317005310583717,0.8931539175196009,0.3717747523229741,0.5348941412267562
ABHD14A-ACY1,14.161493321064334,1.1263741782928984,0.5790790752059143,1.9451128982555135,0.05176139185420804,0.12451837372299285
ABHD14B,389.0722153884123,0.2414138143967128,0.2831978894344014,0.8524562625761826,0.39396090445347065,0.5571355385275425
ABHD15,228.31845738625302,0.04046669306191982,0.14312582279626904,0.28273509469721414,0.7773799117319387,0.8641376750312343
ABHD15-AS1,0.0,,,,,
ABHD16A,605.4797692107885,0.23381054509523946,0.15383946857665945,1.5198345863937368,0.12855255414597985,0.24900042294156116
ABHD16B,0.0,,,,,
ABHD17A,1456.7353955683132,0.00881804604259706,0.12240831229846252,0.07203796765938923,0.9425716925046844,0.9675506070167068
ABHD17AP1,3.3053127823548283,-1.0248156337381438,0.9094413602801878,-1.126862795664374,0.2598004954729629,
ABHD17AP3,0.1883015516104587,-0.4588143613978259,3.706152491059232,-0.12379802571660915,0.9014751950398333,
ABHD17AP4,0.15471634226929706,-0.9397098229957397,3.7774959040443954,-0.24876527913362778,0.8035423501633268,
ABHD17AP6,0.30739026062886016,-1.2177927189708406,2.82863176595588,-0.43052359576373195,0.6668148062809537,
ABHD17AP9,0.18202031472175634,0.9838681762476064,3.8968344634295247,0.25247882235719193,0.8006709813046095,
ABHD17B,540.3699887265084,-0.18718705894564489,0.09591607687305306,-1.9515712594604018,0.050989128240954265,0.12319608042602274
ABHD17C,274.08895987185235,-0.27488330853149817,0.1964212368254732,-1.3994581898277179,0.1616756277382928,0.29461735364044356
ABHD2,3016.7987126799358,-0.1461331446132245,0.08951877099626232,-1.6324301929851788,0.10258889295750258,0.20997814400546083
ABHD3,249.80075136929702,-0.7035257412120315,0.14506967036795795,-4.849571515724777,1.237284553701502e-06,1.4175247985465498e-05
ABHD4,317.08791528829465,1.320217680175484,0.1086667163944928,12.149236895892734,5.7903519379198e-34,1.5217044892853235e-31
ABHD5,501.55563082071967,-0.11548133033119,0.14464056174430817,-0.7984021144451505,0.42463717664095146,0.5845947978224317
ABHD6,191.09532921531382,0.17032769463949193,0.10775156301921202,1.5807445374052034,0.11393646052731723,0.22739369303979823
ABHD8,345.54613297491437,-0.09855232520432773,0.10493694541649536,-0.9391575561226123,0.34764985711414176,0.5108434287504319
ABI1,882.4899399227226,-0.1387235367780818,0.16977767078713293,-0.8170894095491109,0.41387733465795595,0.5747791830772893
ABI2,3228.183162717509,-0.07057862136120958,0.06612768687882743,-1.0673081834926128,0.2858326939292066,0.44504549062972454
ABI3,0.2862584285663484,0.02208110020008593,3.6540208837810515,0.0060429594965087305,0.9951784452612711,
ABI3BP,11.783188434755548,0.6411609804860154,0.7025511413621438,0.9126182319523362,0.3614433620705575,0.5248810261743826
ABL1,2694.5858901351257,0.07512818368530566,0.11682003713586692,0.6431104246091638,0.5201524507068805,0.6675884386151073
ABL2,1143.190629692906,0.12462467522158353,0.09014049988819262,1.3825602850679104,0.16679973366411882,0.30144632859081755
ABLIM1,3073.718942521687,0.2726805638077198,0.06441326653869178,4.233298176920216,2.302888490143779e-05,0.00019264417820096002
ABLIM2,83.57480908390215,0.6981374956444985,0.17675327869426305,3.9497852645330207,7.822133682126844e-05,0.0005574371612769743
ABLIM3,17.881531517741756,-0.13965210555207094,0.3304606289524353,-0.422598316763997,0.6725883549142638,0.7902019083858142
ABO,0.7325021011810614,2.608273091347714,3.3384859038035564,0.7812742562058128,0.43464120796944117,
ABR,3762.774566069947,0.10778562320775542,0.14833420483589835,0.7266403816098809,0.46744628395407295,0.6237242167242207
ABRA,0.0,,,,,
ABRACL,522.1280385838152,-0.40445799200007204,0.09549191278395638,-4.235520896048331,2.2802249648934957e-05,0.00019112268326943423
ABT1,870.1704134569825,-0.4226920388146032,0.22679880263890345,-1.863731350855455,0.06235944043980766,0.1437355230863304
ABT1P1,0.0,,,,,
ABTB1,299.6583686475457,1.2555225843598068,0.3169182572318063,3.9616606355419557,7.443028101101321e-05,0.0005337607305752005
ABTB2,90.18364638433799,1.0418394351093618,0.22915192692458078,4.546500869932704,5.454514458194801e-06,5.3888962391488485e-05
AC000003.1,0.0,,,,,
AC000029.1,0.0,,,,,
AC000032.2,0.0,,,,,
AC000036.4,0.0,,,,,
AC000041.10,0.0,,,,,
AC000041.8,0.25210675369916014,-0.45881436139782683,3.706152491059232,-0.12379802571660942,0.9014751950398331,
AC000067.1,0.0,,,,,
AC000068.10,1.5456525520703097,2.61525262456986,1.7090261624397847,1.530258975577271,0.12595263854713998,
AC000068.5,22.928223393232315,0.33479478642005217,0.3080537959216939,1.086806235963915,0.2771224512442034,0.43541259309726665
AC000068.9,2.7768097143270802,-0.05515360807184504,0.798601318491026,-0.06906275608968307,0.9449396665489351,
AC000077.2,0.0,,,,,
AC000078.5,0.0,,,,,
AC000081.2,0.0,,,,,
AC000089.3,4.32997093323784,0.13966461390795096,0.7786377116579054,0.17937047206533535,0.857646815235553,
AC000095.9,2.836046744517132,0.44963081900021545,0.9616080538154663,0.46758221004511274,0.6400833893289726,
AC000099.1,0.0,,,,,
AC000111.3,0.0,,,,,
AC000111.4,0.0,,,,,
AC000111.5,0.0,,,,,
AC000111.6,0.0,,,,,
AC000120.7,5.850990496070846,0.5785086016284493,0.7218242750649284,0.8014535138436736,0.4228691455343261,0.583147714863757
AC000123.2,54.550517453309226,-0.14549189783035266,0.22529744926341852,-0.6457769420205155,0.5184238228899978,0.6661446228106962
AC000123.3,15.917188573921363,-0.008405535452503136,0.3740257718678656,-0.022473145127209604,0.9820705336726939,0.989776910507815
