,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C15orf54,10.8888215542596,-0.3178527736545388,0.6497905509799996,-0.4891618894352347,0.6247270883321276,0.8020301909729047
THBS1,3834.8265375361257,-1.030276243012539,0.5466981602569987,-1.8845430950933033,0.059491551276897855,0.21819583745102233
FSIP1,320.67227337624104,-0.4233511065218127,0.26669119901811367,-1.5874206126054375,0.11241741390174327,0.31665547790068305
GPR176,997.1998283992713,0.36193848128669853,0.49526097739754055,0.7308035516720601,0.4648991538535421,0.6940126488892345
EIF2AK4,3193.159278545541,0.12163001529302345,0.0954685906673171,1.274031746387375,0.20265216548276643,0.44112415004445116
SRP14,6142.379811872156,0.24458177951206772,0.15242606755840526,1.6045928588845282,0.10858343401118746,0.3105140905740647
SRP14-AS1,224.0477948691861,-0.06889644960079212,0.20480678372407943,-0.33639730260893635,0.7365712832939422,0.8706412811045853
BMF,1064.3115293059784,1.3013766915775686,0.35378089033580473,3.678482154144383,0.00023462610431691243,0.008500582846852631
BUB1B,886.3351337277066,1.4566727650526576,0.3816455736427029,3.816820803524887,0.00013518227572459617,0.005875739236763818
PAK6,231.13736538880877,-0.8511105701411278,0.27987959906244275,-3.0409882427737798,0.0023580303834727467,0.03277357315305117
C15orf56,12.621101999276023,0.5186688804546674,0.4225089963003158,1.2275925128136254,0.21959997385228236,0.4621768779362698
ANKRD63,25.40266514464384,0.9204444051280253,0.43835709270562423,2.099759352465054,0.035750015563234615,0.16362799884123494
PLCB2,260.9806115670212,0.9180770313446774,0.4012443605769105,2.288074603776769,0.02213317691548808,0.1255381336217965
INAFM2,508.8708209477554,0.42892110176535764,0.25648082777353176,1.672332023756909,0.09445886820486407,0.2859708578617725
C15orf52,264.86144545387504,-0.5071687491000008,0.4753200311907166,-1.0670047879730642,0.2859696738655012,0.5347685475179159
DISP2,687.3536218794403,-0.5395513412774061,0.2688418043062784,-2.0069473297490648,0.044755271507885025,0.18470141592641887
KNSTRN,956.8245231610833,0.805066118161053,0.2735085266001754,2.9434772223314543,0.003245477044872918,0.040121561908726094
IVD,1764.5537152232064,0.0666069754399605,0.152331309972243,0.4372507231251229,0.6619295277820415,0.8262986910453806
BAHD1,1032.0661004398164,0.44162740865106104,0.1578208269036328,2.798283454190262,0.005137500527420482,0.05289793651091222
CHST14,244.61889325577428,0.36992717877815595,0.3444327596572028,1.0740185664869,0.282814360247463,0.531378986860995
C15orf57,414.1995627484484,-0.027919445437232186,0.15622819778209862,-0.1787093868686446,0.8581658981890439,0.9350701532206882
RPUSD2,198.1209023984329,-0.11376487430091192,0.20842858671855266,-0.5458218380309416,0.5851884104242561,0.7766087677010391
CASC5,1199.0092008334093,1.3472062313476407,0.3844785046233367,3.5039832270141145,0.0004583542265115109,0.01256628330884579
RAD51-AS1,158.59125943287205,0.09241388210019362,0.17902689351627987,0.5162011152910383,0.6057139514194547,0.7897794728475663
RAD51,143.86745276119746,0.5971916638339261,0.2443986151494247,2.4435149252740427,0.014544967959973464,0.0973034215496565
RMDN3,730.7415531812626,-0.39645223107794253,0.09627170033565957,-4.118055770238581,3.8208224213193656e-05,0.0028988804464810105
GCHFR,174.31021877946674,-0.22529796221823967,0.17338427950490198,-1.2994140118214694,0.19380188561576106,0.4304804915049517
DNAJC17,405.515162054542,-0.06263052351617862,0.17930640598668846,-0.3492932847074535,0.7268691393874744,0.8650265879147118
C15orf62,161.08366022077186,-0.6742763659722467,0.31970436343027464,-2.109062130831073,0.03493921905415589,0.1615218807743737
ZFYVE19,511.6233556481969,-0.1746783265153086,0.08069749302298161,-2.1646066063732916,0.030417824654552658,0.14970583912277546
SPINT1,134.22787890046217,1.3477689296476363,0.7478212450845898,1.80226081902124,0.07150437987416475,0.24368420599356447
RHOV,38.033495866659855,-0.07818795624903968,0.256478742751825,-0.3048516045039111,0.7604791762709577,0.8848266646739222
VPS18,1169.3966828154034,-0.04792432544920188,0.16815239413107214,-0.2850053113834682,0.775640072719664,0.8931598965904213
DLL4,211.25281643838613,1.8573825539484712,0.374650664831928,4.957638483790524,7.13551790660148e-07,0.0001586791551023205
CHAC1,294.54570421862826,1.0634293149490028,0.21407143526811134,4.967637618802914,6.777345983120104e-07,0.00015426036792402903
INO80,2096.813321600424,-0.1361663940538771,0.10240213023678621,-1.3297222795953287,0.1836097913614797,0.4175736021477075
EXD1,8.021742386695358,1.0573391834563628,0.5164908428411952,2.047159592685096,0.040642417400703776,0.17555946509388584
CHP1,1679.1152018033447,0.05206276030882818,0.19020503563523983,0.27371914804963426,0.7843004615242843,0.8977794617559396
OIP5-AS1,1241.2951673166758,0.20076141895217553,0.18585086206845103,1.0802286129737335,0.2800403897881443,0.5285156133161013
OIP5,115.92849016894878,0.8806786026514677,0.37070029998334153,2.3757159157708894,0.017514941757429438,0.10895870681060686
